Frame,Unix Time,Name,Age (Confidence),Gender (Confidence),Emotion (Confidence),Race Percentages,Bounding Box
57,1737795974,Unknown,35,"{'Woman': 0.935845822095871, 'Man': 99.06415343284607}",neutral (97.50),"{'asian': 6.9558867163523095, 'indian': 4.040874277457509, 'black': 1.2465405832577447, 'white': 34.57384819672682, 'middle eastern': 14.114499284565364, 'latino hispanic': 39.06835485319553}","(342, 167, 1658, 1070)"
58,1737795975,Unknown,32,"{'Woman': 0.6258595734834671, 'Man': 99.37413334846497}",neutral (90.11),"{'asian': 7.509102672338486, 'indian': 3.688836842775345, 'black': 1.2519335374236107, 'white': 32.76199996471405, 'middle eastern': 11.026252061128616, 'latino hispanic': 43.7618762254715}","(341, 167, 1658, 1070)"
59,1737795976,Unknown,35,"{'Woman': 61.17894649505615, 'Man': 38.821056485176086}",neutral (73.27),"{'asian': 1.596246287226677, 'indian': 2.963404729962349, 'black': 0.5320670083165169, 'white': 48.724207282066345, 'middle eastern': 25.778818130493164, 'latino hispanic': 20.405256748199463}","(331, 150, 1640, 1070)"
60,1737795977,Unknown,29,"{'Woman': 3.1309403479099274, 'Man': 96.86906337738037}",neutral (71.45),"{'asian': 10.06624698638916, 'indian': 3.1542081385850906, 'black': 1.090947911143303, 'white': 38.61369490623474, 'middle eastern': 9.45543572306633, 'latino hispanic': 37.619465589523315}","(338, 141, 1661, 1070)"
61,1737795978,Unknown,27,"{'Woman': 1.6811273992061615, 'Man': 98.3188807964325}",sad (38.96),"{'asian': 3.8927946239709854, 'indian': 1.1979134753346443, 'black': 0.32684672623872757, 'white': 57.25746750831604, 'middle eastern': 6.894809752702713, 'latino hispanic': 30.430173873901367}","(406, 130, 1620, 1069)"
62,1737795979,Unknown,28,"{'Woman': 5.3319863975048065, 'Man': 94.66800689697266}",sad (52.82),"{'asian': 6.427320476014643, 'indian': 3.8429858590952075, 'black': 1.6290989744126185, 'white': 35.53213390899503, 'middle eastern': 14.83686058740977, 'latino hispanic': 37.731602056717996}","(590, 320, 1485, 1070)"
63,1737795980,Unknown,27,"{'Woman': 3.9332684129476547, 'Man': 96.0667371749878}",sad (66.12),"{'asian': 5.205550417304039, 'indian': 2.1534716710448265, 'black': 0.6837819237262011, 'white': 44.899168610572815, 'middle eastern': 11.214076727628708, 'latino hispanic': 35.84395349025726}","(570, 256, 1535, 1071)"
64,1737795980,Unknown,27,"{'Woman': 3.8170013576745987, 'Man': 96.18300199508667}",neutral (37.43),"{'asian': 11.623894423246384, 'indian': 3.995594009757042, 'black': 1.3825500383973122, 'white': 35.78771352767944, 'middle eastern': 13.351494073867798, 'latino hispanic': 33.85875225067139}","(568, 256, 1528, 1071)"
65,1737795981,Unknown,26,"{'Woman': 5.240439996123314, 'Man': 94.75955963134766}",sad (94.85),"{'asian': 6.288088858127594, 'indian': 2.897881530225277, 'black': 1.2600879184901714, 'white': 38.964954018592834, 'middle eastern': 12.95410841703415, 'latino hispanic': 37.63488233089447}","(559, 256, 1516, 1071)"
66,1737795982,Unknown,30,"{'Woman': 8.52685198187828, 'Man': 91.47314429283142}",sad (46.53),"{'asian': 14.075905272472534, 'indian': 6.411162783046101, 'black': 2.479642366426273, 'white': 27.92969678994379, 'middle eastern': 12.401289481078324, 'latino hispanic': 36.70230647353011}","(559, 256, 1515, 1071)"
67,1737795983,Unknown,27,"{'Woman': 9.784962981939316, 'Man': 90.21503329277039}",sad (38.70),"{'asian': 7.602962851524353, 'indian': 4.068486765027046, 'black': 1.788444072008133, 'white': 35.567811131477356, 'middle eastern': 15.263824164867401, 'latino hispanic': 35.70846915245056}","(563, 258, 1513, 1071)"
